Time,Symbol,Ticket,Type,Volume,Price,S/L,T/P,Time.1,Price.1,Profit,Change %
2025-04-22 03:57:00,BTCUSD,19960000,buy,0.11,87525.09,0,0,2025-04-22 04:10:00,87705.95,198.94600000000065,0.21%
TOTAL,,,Trades: 1,,,,,,,198.94600000000065,Win Rate: 100.0%
