time,Open Price,High Price,Low Price,Close Price,Tick Volume,Spread (Points),Trading Volume,EMA (5) - Fast Exponential Moving Average,EMA (8) - Short-term Trend,EMA (13) - Medium-term Trend,EMA (21) - Intermediate Trend,EMA (50) - Medium-Long Trend,EMA (200) - Long-term Trend,MACD Line,MACD Signal Line,MACD Histogram,RSI (14) - Relative Strength Index,ATR (14) - Average True Range,Bollinger Band - Middle (SMA 20),Bollinger Band - Upper (2 std dev),Bollinger Band - Lower (2 std dev),"Stochastic %K (14,3)",Stochastic %D (3-period SMA of %K),Candle Direction,"EMA 5-8 Crossover Signal (1=Buy, -1=Sell)","MACD Signal Line Crossover (1=Buy, -1=Sell)","Stochastic Crossover Signal (1=Buy, -1=Sell)","RSI Signal (1=Oversold, -1=Overbought)","Bollinger Band Signal (1=Lower Band Touch, -1=Upper Band Touch)","Trend vs EMA200 (1=Above/Bullish, -1=Below/Bearish)",Potential Support/Resistance Level,ATR % of Price
2025-05-05 02:38:00,94495.37,94499.99,94420.1,94454.18,87,1594,0,94443.23585239831,94435.13176208155,94450.7321313349,94494.21009124194,94602.79297654524,94720.71941542528,-73.6927266690036,-86.69690619351053,13.004179524506924,43.69811711438548,87.479999999998,94488.35299999999,94753.81727985298,94222.88872014699,60.34690208412621,50.913455071754214,down,0,0,0,0,0,-1,94454.18,0.09261633524318141
2025-05-05 02:39:00,94455.75,94463.06,94361.2,94393.16,78,1594,0,94426.54390159888,94425.8047038412,94442.50754114421,94485.02371931085,94594.57207550426,94717.46011775936,-72.45431170176016,-83.84838729516046,11.394075593400302,39.38964936067525,90.75857142857005,94474.46900000001,94728.54876011684,94220.38923988318,55.47756153997758,55.24759213654181,down,0,0,0,0,0,-1,94393.16,0.09614952124557548
2025-05-05 02:40:00,94394.22,94401.43,94304.62,94319.82,105,1594,0,94390.9692677326,94402.25254743206,94424.98074955218,94470.0051993735,94583.79748430802,94713.50349967221,-76.50883773367968,-82.38047738286431,5.87163964918463,34.9317173041067,94.34714285714186,94459.06599999999,94711.33144978186,94206.80055021812,43.89507458141582,53.23984606850653,down,-1,0,-1,0,0,-1,94319.82,0.10002896830925022
2025-05-05 02:41:00,94321.15,94342.95,94272.01,94274.83,78,1595,0,94352.2561784884,94373.9364257805,94403.5306424733,94452.26199943044,94571.68111237437,94709.13858922772,-82.40251097540022,-82.3848841013715,-0.017626874028721318,32.501659328123054,91.31642857142808,94438.81450000001,94681.28870685176,94196.34029314826,30.16318054463976,43.17860555534438,down,0,-1,0,0,0,-1,94274.83,0.09686193925932093
2025-05-05 02:42:00,94272.85,94318.65,94272.85,94312.43,51,1594,0,94338.98078565893,94360.2683311626,94390.51626497711,94439.54999948222,94561.51440208519,94705.19124008117,-83.08157108243904,-82.524221497585,-0.5573495848540375,36.47880840228183,91.37785714285565,94420.71349999998,94642.27081046856,94199.15618953141,24.837035269822774,32.965096798626114,up,0,0,0,0,0,-1,94312.43,0.09688845589373071
2025-05-05 02:43:00,94307.46,94312.39,94186.21,94222.44,108,1594,0,94300.13385710596,94329.63981312647,94366.50536998038,94419.812726802,94548.2173667093,94700.38774515499,-89.84548915966297,-83.9884750300006,-5.857014129662375,31.6692265491334,97.15357142856894,94401.1635,94620.10407143905,94182.22292856094,18.936882207187008,24.64569934054985,down,0,0,0,0,0,-1,94222.44,0.10311086342974024
2025-05-05 02:44:00,94222.24,94247.16,94138.57,94138.57,96,1594,0,94246.27923807065,94287.17985465392,94333.9431742689,94394.24520618364,94532.15276409325,94694.79751883505,-100.81145928673504,-87.3530718813475,-13.45838740538754,27.968154335590143,93.1507142857112,94377.003,94600.04429266963,94153.96170733037,13.549629044126982,19.107848840378924,down,0,0,0,1,1,-1,94138.57,0.09895063658361414
2025-05-05 02:45:00,94137.23,94187.82,94137.23,94169.04,100,1594,0,94220.53282538043,94260.9265536197,94310.38557794478,94373.77200562149,94517.9130478543,94689.5661007372,-105.82352751407598,-91.0471630078932,-14.776364506182773,31.11770226870354,91.229999999998,94356.253,94575.37722654008,94137.12877345992,6.551925602343907,13.012812284552632,up,0,0,0,0,0,-1,94169.04,0.09687897423611626
2025-05-05 02:46:00,94162.0,94206.65,94160.61,94204.58,48,1594,0,94215.2152169203,94248.40509725978,94295.27049538125,94358.39091420136,94505.6254773502,94684.74036839155,-105.70929575471382,-93.97958955725733,-11.729706197456494,34.70394965224557,86.10285714285523,94339.3285,94549.81595933627,94128.84104066374,8.839207716033131,9.64692078750134,up,0,0,0,0,0,-1,94204.58,0.09139986308824394
2025-05-05 02:47:00,94198.92,94212.44,94167.26,94211.31,50,1594,0,94213.91347794687,94240.16174231315,94283.27613889822,94345.01992200124,94494.0836939247,94680.02961845731,-103.87826750159729,-95.95932514612532,-7.91894235547197,35.38993543973528,85.87714285714173,94327.70700000001,94539.58303119188,94115.83096880814,15.442762653545506,10.27796532397418,up,0,0,1,0,0,-1,94211.31,0.09115375092135089
2025-05-05 02:48:00,94212.93,94307.94,94198.96,94198.96,68,1594,0,94208.92898529793,94231.0057995769,94271.23097619848,94331.74174727386,94482.51021573157,94675.2428560846,-102.24508847134712,-97.2164778111697,-5.028610660177421,34.670121673482655,86.90785714285552,94316.015,94529.27619093221,94102.75380906778,18.109857196343157,14.130609188640598,down,0,0,0,0,0,-1,94198.96,0.09225989028207478
2025-05-05 02:49:00,94197.45,94221.68,94192.63,94204.97,58,1594,0,94207.60932353196,94225.22006633758,94261.76512245585,94320.21704297623,94471.62628570289,94670.56352418326,-99.32091585823218,-97.6373654205822,-1.6835504376499841,35.35915401510495,81.68071428571213,94305.2885,94518.21412806104,94092.36287193895,18.144622131894263,17.23241399392764,up,0,0,0,0,0,-1,94204.97,0.08670531319707668
2025-05-05 02:50:00,94204.27,94290.4,94204.27,94290.4,48,1595,0,94235.20621568797,94239.70449604034,94265.85581924788,94317.50640270565,94464.51937253808,94666.78080254959,-89.08310636524402,-95.92651360951457,6.843407244270551,44.34488584654161,77.77499999999729,94304.508,94517.53690731426,94091.47909268574,25.194772779947957,20.483084036061793,up,0,1,0,0,0,-1,94290.4,0.08248453713209118
2025-05-05 02:51:00,94286.75,94310.7,94267.67,94295.0,61,1595,0,94255.13747712532,94251.99238580915,94270.01927364105,94315.46036609606,94457.87155400717,94663.08149108144,-79.67988688936748,-92.67718826548516,12.997301376117676,44.78992362440477,74.22214285713979,94305.887,94518.26109764731,94093.5129023527,34.18929569184039,25.8428968678942,up,1,0,0,0,0,-1,94295.0,0.07871270253686811
2025-05-05 02:52:00,94302.96,94322.77,94296.67,94298.94,57,1594,0,94269.73831808355,94262.42518896266,94274.15080597805,94313.95851463277,94451.63894404612,94659.45819266271,-71.09035724998103,-88.35982206238432,17.2694648124033,45.194165840711506,70.49928571428298,94304.74350000001,94517.0028569717,94092.48414302833,44.69428555743874,34.692784676409026,up,0,0,0,0,0,-1,94298.94,0.07476148269989352
2025-05-05 02:53:00,94299.2,94309.21,94285.19,94285.48,39,1595,0,94274.98554538903,94267.54848030428,94275.76926226691,94311.36955875707,94445.1229070247,94655.73701661633,-64.62425445843837,-83.61270854159514,18.988454083156768,44.008683160134325,64.93928571428322,94302.12700000001,94513.95981989127,94090.29418010874,49.74484441799954,42.876141889092885,down,0,0,0,0,0,-1,94285.48,0.06887517114436202
2025-05-05 02:54:00,94286.76,94322.78,94255.74,94311.31,62,1594,0,94287.09369692602,94277.27326245888,94280.8465105145,94311.36414432462,94439.87534204335,94652.30988212264,-56.76124794702628,-78.24241642268137,21.481168475655096,46.88787464279895,62.812857142854355,94296.3085,94499.85138561674,94092.76561438326,63.45428008445787,52.631136686632054,up,0,0,0,0,0,-1,94311.31,0.06660161664900462
2025-05-05 02:55:00,94319.62,94346.36,94315.68,94320.19,45,1594,0,94298.12579795069,94286.8103152458,94286.46700901243,94312.16649484055,94435.18179921813,94649.00520667864,-49.24554486319539,-72.44304211078418,23.197497247588785,47.880136685195026,60.24928571428297,94294.587,94496.63020987544,94092.54379012456,76.07297252626172,63.09069900957305,up,0,0,0,0,0,-1,94320.19,0.06387740070740205
2025-05-05 02:56:00,94314.86,94321.21,94251.06,94251.06,48,1594,0,94282.4371986338,94278.86580074673,94281.4088648678,94306.61135894596,94427.9613365037,94645.04555288085,-48.3106145853817,-67.61655660570369,19.305942020321993,41.39629444371482,61.98857142857014,94282.584,94462.81184882046,94102.35615117954,75.51212764372356,71.67979341814772,down,0,0,0,0,0,-1,94251.06,0.06576962787322513
2025-05-05 02:57:00,94246.64,94257.1,94244.15,94253.68,35,1594,0,94272.85146575587,94273.26895613634,94277.44759845812,94301.79941722359,94421.12677428787,94641.15136827508,-46.818568190108635,-63.45695892258468,16.638390732476047,41.71842192605357,53.89785714285764,94270.5175,94420.66724656876,94120.36775343124,65.86652640303417,72.48387552433981,up,-1,0,-1,0,0,-1,94253.68,0.05718382257632555
2025-05-05 02:58:00,94257.07,94309.11,94255.4,94303.99,42,1594,0,94283.23097717059,94280.0958547727,94281.23937010697,94301.99856111236,94416.5331752962,94637.79652878975,-41.102707701633335,-58.986108678394416,17.88340097676108,47.6670353659828,50.100714285715576,94263.008,94387.27353734866,94138.74246265134,63.284400452668876,68.22101816647553,up,1,0,0,0,0,-1,94303.99,0.05312682346284136
2025-05-05 02:59:00,94305.26,94333.05,94264.41,94265.37,47,1594,0,94277.27731811373,94276.823442601,94278.97231723454,94298.66869192032,94410.60520763752,94634.09079218488,-39.23686022259062,-55.03625898723366,15.799398764643037,43.9579682504647,51.390000000000455,94256.6185,94364.80806040173,94148.42893959826,63.94044253107116,64.3637897955914,down,0,0,0,0,0,-1,94265.37,0.05451630858713063
2025-05-05 03:00:00,94266.21,94266.21,94198.99,94251.52,130,1594,0,94268.69154540915,94271.20045535633,94275.05055762961,94294.38244720027,94404.36657204389,94630.28411763579,-38.43271350572468,-51.71554989093187,13.28283638520719,42.675497898075164,52.90285714285814,94253.2035,94357.22473290804,94149.18226709196,61.06153415676363,62.76212571350123,down,-1,0,0,0,0,-1,94251.52,0.0561294471886057
2025-05-05 03:01:00,94251.6,94373.35,94245.82,94369.14,98,1594,0,94302.17436360611,94292.96479861048,94288.49190653967,94301.17858836388,94402.9851378461,94627.68566870409,-27.981912362811272,-46.96882238530775,18.98691002249648,54.749454864779395,58.78500000000037,94257.91900000001,94373.92791796902,94141.910082031,67.03838571491578,64.01345413425018,up,1,0,1,0,0,-1,94369.14,0.06229260963912606
2025-05-05 03:02:00,94367.51,94378.21,94262.73,94272.53,94,1594,0,94292.29290907075,94288.42373225259,94286.21163417686,94298.57417123989,94397.86925008745,94624.1517814533,-27.181861184028094,-43.01143014505182,15.829568961023725,46.15107305532686,59.249285714287126,94255.924,94369.32896571289,94142.5190342871,62.590326882134384,63.56341558460459,down,0,0,-1,0,0,-1,94272.53,0.06284893989191456
2025-05-05 03:03:00,94272.09,94272.09,94200.57,94200.57,50,1594,0,94261.71860604717,94268.90068064092,94273.97711500873,94289.66470112717,94390.13202459383,94619.93703735925,-31.98567452050338,-40.80627902014213,8.820604499638748,40.98758672945788,62.31428571428738,94254.8305,94370.00289425689,94139.6581057431,47.202078619032214,58.94359707202745,down,-1,0,0,0,0,-1,94200.57,0.0661506461312149
2025-05-05 03:04:00,94200.62,94279.89,94188.44,94270.5,70,1594,0,94264.64573736479,94269.25608494294,94273.48038429322,94287.92245557015,94385.44057264896,94616.4600519129,-29.80637528815714,-38.60629827374514,8.799922985587997,47.17307026804982,62.69428571428788,94261.427,94362.8546875099,94159.9993124901,29.059208502555702,46.283871334574094,up,0,0,0,0,0,-1,94270.5,0.0665046708294619
2025-05-05 03:05:00,94270.57,94272.62,94192.83,94268.79,64,1594,0,94266.02715824319,94269.15251051118,94272.8103293942,94286.1831414274,94380.86604038822,94613.0006484113,-27.89568357860844,-36.4641753347178,8.56849175610936,47.043219482417086,65.32000000000178,94266.4145,94358.05147012454,94174.77752987546,28.82138177667322,35.02755629942038,down,0,0,0,0,0,-1,94268.79,0.06929122565379463
2025-05-05 03:06:00,94273.36,94335.52,94270.53,94302.45,110,1594,0,94278.16810549547,94276.5519526198,94277.04456805218,94287.66194675218,94377.79090154947,94609.91059220821,-23.395675161402323,-33.850475300054704,10.45480013865238,49.96296302883911,68.10285714285939,94271.30799999999,94359.42689446667,94183.18910553331,48.55351214627844,35.478034141835785,up,1,0,1,0,0,-1,94302.45,0.07221748442681966
2025-05-05 03:07:00,94302.31,94326.47,94281.62,94287.43,57,1594,0,94281.25540366364,94278.96929648207,94278.5282011876,94287.64086068381,94374.24733678282,94606.70183009669,-20.80158679850865,-31.240697599745495,10.439110801236843,48.673363124419076,69.59071428571666,94275.11399999999,94358.78492066026,94191.44307933972,51.52728741809742,42.96739378034969,down,0,0,0,0,0,-1,94287.43,0.0738069902697705
2025-05-05 03:08:00,94281.58,94303.84,94269.08,94290.89,34,1594,0,94284.46693577577,94281.61834170828,94280.2941724465,94287.93623698528,94370.97842161488,94603.55942382709,-18.256114869742305,-28.643781053744856,10.387666184002551,48.999927233049156,67.28500000000246,94279.7105,94355.49524127027,94203.92575872973,55.40917953311478,51.82999303249688,up,0,0,0,0,0,-1,94290.89,0.07135896161336737
2025-05-05 03:09:00,94287.96,94381.89,94287.96,94381.85,67,1594,0,94316.92795718386,94303.89204355088,94294.8021478113,94296.4738518048,94371.40475802215,94601.35335990842,-8.79768398689339,-24.674561640374566,15.876877653481177,56.78433958959723,71.49071428571604,94288.5545,94368.76843984993,94208.34056015007,68.7096240923441,58.54869701451876,up,0,0,0,0,-1,-1,94381.85,0.07574625236283887
2025-05-05 03:10:00,94382.92,94385.32,94308.17,94309.45,59,1594,0,94314.43530478925,94305.12714498401,94296.89469812397,94297.65350164073,94368.97515966835,94598.44884886456,-7.062472509001964,-21.152143814100047,14.089671305098083,50.214470405524025,71.99071428571604,94289.50700000001,94370.26379227707,94208.75020772296,71.8098544188524,65.3095526814371,down,0,0,0,0,0,-1,94309.45,0.0763345712287751
2025-05-05 03:11:00,94309.95,94381.37,94309.95,94378.77,40,1594,0,94335.88020319284,94321.49222387646,94308.59116982055,94305.0277287643,94369.35927105391,94596.26298967189,-0.0926917498873081,-16.9402534012575,16.847561651370192,55.5207515288251,76.20285714285794,94293.6955,94383.80037701584,94203.59062298416,86.03875300907578,75.51941050675742,up,0,0,0,0,0,-1,94378.77,0.08074152390718584
2025-05-05 03:12:00,94378.8,94418.58,94346.49,94418.58,55,1595,0,94363.44680212857,94343.06728523724,94324.30385984619,94315.350662513,94371.28949571846,94594.4949997249,8.544745502978913,-11.843253620410218,20.38799912338913,58.27142467740036,77.39285714285714,94299.67749999999,94405.72383463448,94193.6311653655,86.04564540159645,81.29808427650819,up,0,0,0,0,-1,-1,94418.58,0.08196782576359138
2025-05-05 03:13:00,94419.22,94484.33,94408.75,94471.3,68,1594,0,94399.39786808573,94371.5634440734,94345.30330843959,94329.52787501182,94375.21147627852,94593.26917883212,19.4201764503523,-5.590567606257714,25.010744056610015,61.65344210406626,77.8885714285716,94308.96849999999,94439.50901926284,94178.42798073713,97.42314561403244,89.83584800823489,up,0,0,0,0,-1,-1,94471.3,0.08244680810846425
